1.00000000	100.00000000	0.00350000	0.34375000	5.38000000
1.00000000	100.00000000	0.00400000	0.68750000	5.39000000
1.00000000	200.00000000	0.00250000	0.17187500	3.97000000
1.00000000	164.00000000	0.00300000	0.34375000	4.13000000
1.00000000	100.00000000	0.00400000	0.17187500	5.35000000
1.00000000	100.00000000	0.00400000	0.34375000	5.37000000
1.00000000	200.00000000	0.00250000	0.34375000	3.98000000
1.00000000	200.00000000	0.00250000	0.68750000	4.00000000
1.00000000	200.00000000	0.00350000	0.17187500	3.96000000
1.00000000	100.00000000	0.00200000	0.68750000	5.21000000
1.00000000	100.00000000	0.00300000	0.34375000	5.38000000
1.00000000	100.00000000	0.00200000	0.34375000	5.41000000
1.00000000	164.00000000	0.00350000	0.17187500	4.11000000
1.00000000	200.00000000	0.00400000	0.34375000	3.97000000
1.00000000	164.00000000	0.00200000	0.34375000	4.14000000
1.00000000	200.00000000	0.00400000	0.17187500	3.96000000
1.00000000	100.00000000	0.00350000	0.68750000	5.39000000
1.00000000	200.00000000	0.00200000	0.17187500	3.98000000
1.00000000	164.00000000	0.00400000	0.34375000	4.12000000
1.00000000	100.00000000	0.00300000	0.68750000	5.40000000
1.00000000	100.00000000	0.00250000	0.68750000	5.42000000
1.00000000	164.00000000	0.00250000	0.68750000	4.15000000
1.00000000	164.00000000	0.00300000	0.17187500	4.12000000
1.00000000	164.00000000	0.00350000	0.68750000	4.13000000
1.00000000	164.00000000	0.00250000	0.34375000	4.13000000
1.00000000	100.00000000	0.00350000	0.17187500	5.36000000
1.00000000	200.00000000	0.00300000	0.34375000	3.98000000
1.00000000	200.00000000	0.00350000	0.68750000	3.98000000
1.00000000	164.00000000	0.00200000	0.17187500	4.13000000
1.00000000	200.00000000	0.00400000	0.68750000	3.98000000
1.00000000	164.00000000	0.00200000	0.68750000	4.04000000
1.00000000	164.00000000	0.00400000	0.68750000	4.13000000
1.00000000	100.00000000	0.00300000	0.17187500	5.37000000
1.00000000	100.00000000	0.00200000	0.17187500	5.39000000
1.00000000	164.00000000	0.00400000	0.17187500	4.11000000
1.00000000	164.00000000	0.00350000	0.34375000	4.12000000
1.00000000	200.00000000	0.00200000	0.34375000	3.99000000
1.00000000	200.00000000	0.00350000	0.34375000	3.98000000
1.00000000	100.00000000	0.00250000	0.34375000	5.39000000
1.00000000	164.00000000	0.00250000	0.17187500	4.12000000
1.00000000	164.00000000	0.00300000	0.68750000	4.14000000
1.00000000	200.00000000	0.00200000	0.68750000	3.90000000
1.00000000	200.00000000	0.00300000	0.68750000	3.99000000
1.00000000	100.00000000	0.00250000	0.17187500	5.38000000
