1.0 100.0 0.002 0.171875 1	5.700000
1.0 100.0 0.0025 0.171875 1	5.690000
1.0 100.0 0.003 0.171875 1	5.670000
1.0 100.0 0.0035 0.171875 1	5.660000
1.0 100.0 0.004 0.171875 1	5.650000
1.0 100.0 0.002 0.34375 1	5.720000
1.0 100.0 0.0025 0.34375 1	5.700000
1.0 100.0 0.003 0.34375 1	5.690000
1.0 100.0 0.0035 0.34375 1	5.690000
1.0 100.0 0.004 0.34375 1	5.680000
1.0 100.0 0.002 0.6875 1	5.510000
1.0 100.0 0.0025 0.6875 1	5.740000
1.0 100.0 0.003 0.6875 1	5.720000
1.0 100.0 0.0035 0.6875 1	5.710000
1.0 100.0 0.004 0.6875 1	5.700000
1.0 164.0 0.002 0.171875 1	4.590000
1.0 164.0 0.0025 0.171875 1	4.580000
1.0 164.0 0.003 0.171875 1	4.570000
1.0 164.0 0.0035 0.171875 1	4.560000
1.0 164.0 0.004 0.171875 1	4.560000
1.0 164.0 0.002 0.34375 1	4.600000
1.0 164.0 0.0025 0.34375 1	4.590000
1.0 164.0 0.003 0.34375 1	4.590000
1.0 164.0 0.0035 0.34375 1	4.580000
1.0 164.0 0.004 0.34375 1	4.570000
1.0 164.0 0.002 0.6875 1	4.490000
1.0 164.0 0.0025 0.6875 1	4.610000
1.0 164.0 0.003 0.6875 1	4.600000
1.0 164.0 0.0035 0.6875 1	4.590000
1.0 164.0 0.004 0.6875 1	4.590000
1.0 200.0 0.002 0.171875 1	4.220000
1.0 200.0 0.0025 0.171875 1	4.210000
1.0 200.0 0.003 0.171875 1	4.210000
1.0 200.0 0.0035 0.171875 1	4.200000
1.0 200.0 0.004 0.171875 1	4.200000
1.0 200.0 0.002 0.34375 1	4.230000
1.0 200.0 0.0025 0.34375 1	4.220000
1.0 200.0 0.003 0.34375 1	4.220000
1.0 200.0 0.0035 0.34375 1	4.210000
1.0 200.0 0.004 0.34375 1	4.210000
1.0 200.0 0.002 0.6875 1	4.140000
1.0 200.0 0.0025 0.6875 1	4.240000
1.0 200.0 0.003 0.6875 1	4.230000
1.0 200.0 0.0035 0.6875 1	4.220000
1.0 200.0 0.004 0.6875 1	4.220000
2.0 100.0 0.002 0.171875 1	9.420000
2.0 100.0 0.0025 0.171875 1	9.410000
2.0 100.0 0.003 0.171875 1	9.400000
2.0 100.0 0.0035 0.171875 1	9.390000
2.0 100.0 0.004 0.171875 1	9.390000
