Point 86 --> || t = 509.1000000000 || max_dvdt = 8.0096423564 ||
Point 87 --> || t = 509.1000000000 || max_dvdt = 8.1133333535 ||
Point 88 --> || t = 509.1000000000 || max_dvdt = 8.2250815586 ||
Point 89 --> || t = 509.1000000000 || max_dvdt = 8.3445540891 ||
Point 90 --> || t = 509.1000000000 || max_dvdt = 8.4712058195 ||
Point 91 --> || t = 509.1000000000 || max_dvdt = 8.6042506099 ||
Point 92 --> || t = 509.1000000000 || max_dvdt = 8.7426391269 ||
Point 93 --> || t = 509.1000000000 || max_dvdt = 8.8850461560 ||
Point 94 --> || t = 509.1000000000 || max_dvdt = 9.0298702581 ||
Point 95 --> || t = 509.1000000000 || max_dvdt = 9.1752482517 ||
Point 96 --> || t = 509.1000000000 || max_dvdt = 9.3190862489 ||
Point 97 --> || t = 509.1000000000 || max_dvdt = 9.4591078282 ||
Point 98 --> || t = 509.1000000000 || max_dvdt = 9.5929184518 ||
Point 99 --> || t = 509.1000000000 || max_dvdt = 9.7180835704 ||
Point 100 --> || t = 509.1000000000 || max_dvdt = 9.8322162073 ||
Point 101 --> || t = 509.1000000000 || max_dvdt = 9.9330684317 ||
Point 102 --> || t = 509.2000000000 || max_dvdt = 10.0194690516 ||
Point 103 --> || t = 509.2000000000 || max_dvdt = 10.2537424399 ||
Point 104 --> || t = 509.2000000000 || max_dvdt = 10.4796587177 ||
Point 105 --> || t = 509.2000000000 || max_dvdt = 10.6932441187 ||
Point 106 --> || t = 509.2000000000 || max_dvdt = 10.8906783169 ||
Point 107 --> || t = 509.2000000000 || max_dvdt = 11.0684561424 ||
Point 108 --> || t = 509.2000000000 || max_dvdt = 11.2235361500 ||
Point 109 --> || t = 509.2000000000 || max_dvdt = 11.3534637810 ||
Point 110 --> || t = 509.2000000000 || max_dvdt = 11.4564593227 ||
Point 111 --> || t = 509.2000000000 || max_dvdt = 11.5314646314 ||
Point 112 --> || t = 509.2000000000 || max_dvdt = 11.5781470407 ||
Point 113 --> || t = 509.2000000000 || max_dvdt = 11.5968632825 ||
Point 114 --> || t = 509.3000000000 || max_dvdt = 11.8334024639 ||
Point 115 --> || t = 509.3000000000 || max_dvdt = 12.0827347248 ||
Point 116 --> || t = 509.3000000000 || max_dvdt = 12.2982834060 ||
Point 117 --> || t = 509.3000000000 || max_dvdt = 12.4781707107 ||
Point 118 --> || t = 509.3000000000 || max_dvdt = 12.6215518517 ||
Point 119 --> || t = 509.3000000000 || max_dvdt = 12.7285693816 ||
Point 120 --> || t = 509.3000000000 || max_dvdt = 12.8002564394 ||
Point 121 --> || t = 509.3000000000 || max_dvdt = 12.8384028905 ||
Point 122 --> || t = 509.3000000000 || max_dvdt = 12.8453998815 ||
Point 123 --> || t = 509.3000000000 || max_dvdt = 12.8240777092 ||
Point 124 --> || t = 509.4000000000 || max_dvdt = 12.9377689010 ||
Point 125 --> || t = 509.4000000000 || max_dvdt = 13.1977184232 ||
Point 126 --> || t = 509.4000000000 || max_dvdt = 13.4188222304 ||
Point 127 --> || t = 509.4000000000 || max_dvdt = 13.6018399576 ||
Point 128 --> || t = 509.4000000000 || max_dvdt = 13.7483795160 ||
Point 129 --> || t = 509.4000000000 || max_dvdt = 13.8607324719 ||
Point 130 --> || t = 509.4000000000 || max_dvdt = 13.9417023267 ||
Point 131 --> || t = 509.4000000000 || max_dvdt = 13.9944386053 ||
Point 132 --> || t = 509.4000000000 || max_dvdt = 14.0222862851 ||
Point 133 --> || t = 509.4000000000 || max_dvdt = 14.0286565454 ||
Point 134 --> || t = 509.4000000000 || max_dvdt = 14.0169215793 ||
Point 135 --> || t = 509.4000000000 || max_dvdt = 13.9903336100 ||
Point 136 --> || t = 509.4000000000 || max_dvdt = 13.9519663974 ||
Point 137 --> || t = 509.5000000000 || max_dvdt = 14.0625918112 ||
Point 138 --> || t = 509.5000000000 || max_dvdt = 14.2563399555 ||
Point 139 --> || t = 509.5000000000 || max_dvdt = 14.4238668797 ||
Point 140 --> || t = 509.5000000000 || max_dvdt = 14.5673660309 ||
Point 141 --> || t = 509.5000000000 || max_dvdt = 14.6891005925 ||
Point 142 --> || t = 509.5000000000 || max_dvdt = 14.7913183439 ||
Point 143 --> || t = 509.5000000000 || max_dvdt = 14.8761813378 ||
Point 144 --> || t = 509.5000000000 || max_dvdt = 14.9457096482 ||
Point 145 --> || t = 509.5000000000 || max_dvdt = 15.0017377485 ||
Point 146 --> || t = 509.5000000000 || max_dvdt = 15.0458817129 ||
Point 147 --> || t = 509.5000000000 || max_dvdt = 15.0795153234 ||
Point 148 --> || t = 509.5000000000 || max_dvdt = 15.1037532430 ||
Point 149 --> || t = 509.5000000000 || max_dvdt = 15.1194396160 ||
Point 150 --> || t = 509.5000000000 || max_dvdt = 15.1271407350 ||
Point 151 --> || t = 509.1000000000 || max_dvdt = 7.4043296232 ||
