-75.4647077891 0.0607757456 0.7242664285 0.4718892171
-75.4647025310 0.0607757630 0.7242662761 0.4718828244
-75.4646920237 0.0607757976 0.7242659717 0.4718700259
-75.4646762848 0.0607758496 0.7242655156 0.4718507872
-75.4646553390 0.0607759187 0.7242649087 0.4718250438
-75.4646292200 0.0607760048 0.7242641519 0.4717927134
-75.4645762926 0.0607761794 0.7242625964 0.4715448386
-75.4645421053 0.0607762922 0.7242616083 0.4715163516
-75.4645039799 0.0607764179 0.7242605073 0.4714883562
-75.4644619657 0.0607765565 0.7242592950 0.4714608894
-75.4644161105 0.0607767078 0.7242579727 0.4714339822
-75.4643664609 0.0607768715 0.7242565419 0.4714076596
-75.4643130615 0.0607770476 0.7242550039 0.4713819404
-75.4642559557 0.0607772360 0.7242533600 0.4713568380
-75.4641951853 0.0607774364 0.7242516114 0.4713323608
-75.4641307908 0.0607776488 0.7242497593 0.4713085143
-75.4640628114 0.0607778730 0.7242478049 0.4712853009
-75.4639912851 0.0607781089 0.7242457494 0.4712627202
-75.4639162485 0.0607783564 0.7242435937 0.4712407695
-75.4638377373 0.0607786153 0.7242413390 0.4712194450
-75.4637557858 0.0607788856 0.7242389863 0.4711987413
-75.4636704274 0.0607791671 0.7242365365 0.4711786513
-75.4635816942 0.0607794598 0.7242339907 0.4711591672
-75.4634896176 0.0607797635 0.7242313496 0.4711402808
-75.4633942277 0.0607800781 0.7242286143 0.4711219833
-75.4632955537 0.0607804035 0.7242257856 0.4711042646
-75.4631936239 0.0607807397 0.7242228643 0.4710871150
-75.4630884658 0.0607810865 0.7242198512 0.4710705249
-75.4629801058 0.0607814439 0.7242167470 0.4710544843
-75.4628685696 0.0607818118 0.7242135527 0.4710389825
-75.4627538819 0.0607821900 0.7242102687 0.4710240099
-75.4626360668 0.0607825786 0.7242068960 0.4710095567
-75.4625151473 0.0607829774 0.7242034350 0.4709956126
-75.4623911457 0.0607833864 0.7241998866 0.4709821673
-75.4622640837 0.0607838055 0.7241962512 0.4709692112
-75.4621339821 0.0607842346 0.7241925296 0.4709567342
-75.4620008608 0.0607846736 0.7241887222 0.4709447256
-75.4618647390 0.0607851226 0.7241848297 0.4709331746
-75.4617256354 0.0607855814 0.7241808525 0.4709220709
-75.4615835676 0.0607860500 0.7241767912 0.4709114028
-75.4614385526 0.0607865283 0.7241726463 0.4709011579
-75.4612906068 0.0607870162 0.7241684182 0.4708913242
-75.4611397456 0.0607875138 0.7241641074 0.4708818883
-75.4609859840 0.0607880210 0.7241597142 0.4708728354
-75.4608293360 0.0607885377 0.7241552391 0.4708641503
-75.4606698152 0.0607890638 0.7241506825 0.4708558170
-75.4605074343 0.0607895994 0.7241460446 0.4708478172
-75.4603422053 0.0607901444 0.7241413259 0.4708401312
-75.4601741397 0.0607906988 0.7241365267 0.4708327383
-75.4600032483 0.0607912624 0.7241316472 0.4708256151
-75.4598295410 0.0607918354 0.7241266877 0.4708187357
-75.4596530275 0.0607924176 0.7241216485 0.4708120721
-75.4594737165 0.0607930091 0.7241165298 0.4708055936
-75.4592916162 0.0607936098 0.7241113319 0.4707992648
-75.4591067342 0.0607942196 0.7241060548 0.4707930475
-75.4589190774 0.0607948386 0.7241006988 0.4707868991
-75.4587286520 0.0607954668 0.7240952641 0.4707807707
-75.4585354639 0.0607961040 0.7240897508 0.4707746081
-75.4583395180 0.0607967504 0.7240841589 0.4707683507
-75.4581408186 0.0607974058 0.7240784887 0.4707619285
-75.4579393696 0.0607980704 0.7240727401 0.4707552631
-75.4577351738 0.0607987439 0.7240669133 0.4707482652
-75.4575282334 0.0607994266 0.7240610082 0.4707408319
-75.4573185499 0.0608001183 0.7240550249 0.4707328463
-75.4571061238 0.0608008191 0.7240489633 0.4707241743
-75.4568909547 0.0608015289 0.7240428234 0.4707146615
-75.4566730414 0.0608022478 0.7240366052 0.4707041322
-75.4564523817 0.0608029757 0.7240303084 0.4706923855
-75.4562289729 0.0608037128 0.7240239331 0.4706791958
-75.4560028120 0.0608044589 0.7240174790 0.4706643133
-75.4557738973 0.0608052141 0.7240109461 0.4706474719
-75.4555422301 0.0608059784 0.7240043343 0.4706284051
-75.4553078189 0.0608067518 0.7239976440 0.4706068802
-75.4550706855 0.0608075341 0.7239908756 0.4705827577
-75.4548308758 0.0608083253 0.7239840306 0.4705560867
-75.4545884717 0.0608091251 0.7239771113 0.4705272292
-75.4544660609 0.0608095289 0.7239736172 0.4705123321
-75.4543413985 0.0608099402 0.7239700592 0.4704978674
-75.4542145121 0.0608103589 0.7239664380 0.4704838688
-75.4540854274 0.0608107848 0.7239627544 0.4704703604
-75.4539541687 0.0608112178 0.7239590092 0.4704573573
-75.4538207586 0.0608116580 0.7239552029 0.4704448673
-75.4536852185 0.0608121052 0.7239513362 0.4704328932
-75.4535475681 0.0608125594 0.7239474097 0.4704214323
-75.4534078263 0.0608130205 0.7239434238 0.4704104777
-75.4532660106 0.0608134884 0.7239393792 0.4704000203
-75.4531221378 0.0608139631 0.7239352763 0.4703900494
-75.4529762235 0.0608144445 0.7239311155 0.4703805518
-75.4528282826 0.0608149326 0.7239268973 0.4703715133
-75.4526783292 0.0608154274 0.7239226220 0.4703629201
-75.4525263768 0.0608159288 0.7239182900 0.4703547579
-75.4523724379 0.0608164367 0.7239139017 0.4703470120
-75.4522165247 0.0608169512 0.7239094574 0.4703396684
-75.4520586488 0.0608174721 0.7239049575 0.4703327143
-75.4518988212 0.0608179995 0.7239004022 0.4703261369
-75.4517370523 0.0608185333 0.7238957918 0.4703199242
