-75.2920963793 0.0613464507 0.7197604435 0.4710165381
-75.2920904503 0.0613464705 0.7197602647 0.4710056642
-75.2920786037 0.0613465099 0.7197599075 0.4709838571
-75.2920608788 0.0613465689 0.7197593730 0.4709511591
-75.2920373816 0.0613466471 0.7197586644 0.4709080827
-75.2920083399 0.0613467437 0.7197577886 0.4708561532
-75.2919635005 0.0613468930 0.7197564354 0.4706959167
-75.2919270916 0.0613470141 0.7197553379 0.4706580209
-75.2918863324 0.0613471498 0.7197541094 0.4706189502
-75.2918412916 0.0613472997 0.7197527518 0.4705787665
-75.2917920377 0.0613474636 0.7197512673 0.4705375131
-75.2917386391 0.0613476413 0.7197496580 0.4704952154
-75.2916811644 0.0613478326 0.7197479258 0.4704518828
-75.2916196820 0.0613480372 0.7197460729 0.4704075082
-75.2915542603 0.0613482549 0.7197441013 0.4703620682
-75.2914849676 0.0613484856 0.7197420131 0.4703155217
-75.2914118719 0.0613487288 0.7197398103 0.4702678077
-75.2913350411 0.0613489845 0.7197374949 0.4702188429
-75.2912545418 0.0613492524 0.7197350689 0.4701685175
-75.2911704400 0.0613495324 0.7197325344 0.4701166900
-75.2910827999 0.0613498240 0.7197298932 0.4700631808
-75.2909916836 0.0613501273 0.7197271472 0.4700077631
-75.2908971503 0.0613504419 0.7197242982 0.4699501507
-75.2907992545 0.0613507677 0.7197213478 0.4698899826
-75.2906980453 0.0613511046 0.7197182975 0.4698268000
-75.2905935628 0.0613514523 0.7197151484 0.4697600147
-75.2904858349 0.0613518109 0.7197119015 0.4696888626
-75.2903748711 0.0613521802 0.7197085568 0.4696123324
-75.2902606522 0.0613525603 0.7197051140 0.4695290521
-75.2901431123 0.0613529516 0.7197015708 0.4694370908
-75.2900221026 0.0613533543 0.7196979229 0.4693335739
-75.2898973050 0.0613537697 0.7196941604 0.4692137985
-75.2897679694 0.0613542002 0.7196902609 0.4690685954
-75.2896316189 0.0613546540 0.7196861491 0.4688715545
-75.2894779434 0.0613551655 0.7196815131 0.4685188859
-75.2893319845 0.0613556513 0.7196771108 0.4682491275
-75.2891987603 0.0613560948 0.7196730938 0.4681076975
-75.2890700252 0.0613565233 0.7196692127 0.4680120702
-75.2889435074 0.0613569444 0.7196653988 0.4679386089
-75.2889341347 0.0613569756 0.7196651162 0.4679335540
-75.2889248132 0.0613570066 0.7196648353 0.4679282906
-75.2889155521 0.0613570374 0.7196645561 0.4679228284
-75.2889063614 0.0613570680 0.7196642791 0.4679171803
-75.2888972517 0.0613570984 0.7196640045 0.4679113623
-75.2888882338 0.0613571284 0.7196637326 0.4679053927
-75.2888793193 0.0613571580 0.7196634639 0.4678992919
-75.2888705201 0.0613571873 0.7196631987 0.4678930815
-75.2888618481 0.0613572162 0.7196629373 0.4678867846
-75.2888533158 0.0613572446 0.7196626801 0.4678804249
-75.2888449355 0.0613572725 0.7196624275 0.4678740265
-75.2888367197 0.0613572998 0.7196621799 0.4678676138
-75.2888286812 0.0613573266 0.7196619376 0.4678612112
-75.2888208322 0.0613573527 0.7196617010 0.4678548427
-75.2888131852 0.0613573782 0.7196614705 0.4678485322
-75.2888057525 0.0613574029 0.7196612464 0.4678423029
-75.2887985462 0.0613574269 0.7196610292 0.4678361772
-75.2887915780 0.0613574501 0.7196608191 0.4678301772
-75.2887848595 0.0613574725 0.7196606166 0.4678243238
-75.2887784020 0.0613574940 0.7196604220 0.4678186373
-75.2887722162 0.0613575145 0.7196602355 0.4678131368
-75.2887663126 0.0613575342 0.7196600575 0.4678078408
-75.2887607014 0.0613575529 0.7196598884 0.4678027665
-75.2887553921 0.0613575705 0.7196597284 0.4677979303
-75.2887503939 0.0613575872 0.7196595777 0.4677933476
-75.2887457153 0.0613576028 0.7196594366 0.4677890327
-75.2887413644 0.0613576172 0.7196593055 0.4677849988
-75.2887373489 0.0613576306 0.7196591844 0.4677812581
-75.2887336757 0.0613576428 0.7196590737 0.4677778220
-75.2887303512 0.0613576539 0.7196589735 0.4677747006
-75.2887273813 0.0613576638 0.7196588840 0.4677719030
-75.2887247710 0.0613576725 0.7196588053 0.4677694374
-75.2887225251 0.0613576799 0.7196587376 0.4677673108
-75.2887206475 0.0613576862 0.7196586810 0.4677655294
-75.2887191414 0.0613576912 0.7196586356 0.4677640982
-75.2887180095 0.0613576950 0.7196586015 0.4677630213
-75.2887172537 0.0613576975 0.7196585787 0.4677623017
-75.2887168756 0.0613576987 0.7196585673 0.4677619413
-75.2889341347 0.0613569756 0.7196651162 0.4679335540
-75.2889248132 0.0613570066 0.7196648353 0.4679282906
-75.2889155521 0.0613570374 0.7196645561 0.4679228284
-75.2889063614 0.0613570680 0.7196642791 0.4679171803
-75.2888972517 0.0613570984 0.7196640045 0.4679113623
-75.2888882338 0.0613571284 0.7196637326 0.4679053927
-75.2888793193 0.0613571580 0.7196634639 0.4678992919
-75.2888705201 0.0613571873 0.7196631987 0.4678930815
-75.2888618481 0.0613572162 0.7196629373 0.4678867846
-75.2888533158 0.0613572446 0.7196626801 0.4678804249
-75.2888449355 0.0613572725 0.7196624275 0.4678740265
-75.2888367197 0.0613572998 0.7196621799 0.4678676138
-75.2888286812 0.0613573266 0.7196619376 0.4678612112
-75.2888208322 0.0613573527 0.7196617010 0.4678548427
-75.2888131852 0.0613573782 0.7196614705 0.4678485322
-75.2888057525 0.0613574029 0.7196612464 0.4678423029
-75.2887985462 0.0613574269 0.7196610292 0.4678361772
-75.2887915780 0.0613574501 0.7196608191 0.4678301772
-75.2887848595 0.0613574725 0.7196606166 0.4678243238
