-75.4121815931 0.0609490369 0.7228361207 0.4719378413
-75.4121757114 0.0609490564 0.7228359443 0.4719260464
-75.4121639653 0.0609490952 0.7228355922 0.4719024419
-75.4121464144 0.0609491533 0.7228350659 0.4718672324
-75.4121232108 0.0609492301 0.7228343702 0.4718213370
-75.4120946588 0.0609493245 0.7228335142 0.4717669699
-75.4120520389 0.0609494655 0.7228322355 0.4716194721
-75.4120165037 0.0609495831 0.7228311705 0.4715799157
-75.4119767409 0.0609497147 0.7228299789 0.4715389840
-75.4119328236 0.0609498600 0.7228286628 0.4714967530
-75.4118848251 0.0609500188 0.7228272245 0.4714532800
-75.4118328187 0.0609501909 0.7228256661 0.4714086046
-75.4117768780 0.0609503759 0.7228239899 0.4713627496
-75.4117170769 0.0609505738 0.7228221980 0.4713157214
-75.4116534891 0.0609507842 0.7228202927 0.4712675090
-75.4115861885 0.0609510069 0.7228182762 0.4712180821
-75.4115152485 0.0609512416 0.7228161506 0.4711673889
-75.4114407421 0.0609514881 0.7228139182 0.4711153526
-75.4113627412 0.0609517462 0.7228115811 0.4710618663
-75.4112813164 0.0609520156 0.7228091414 0.4710067873
-75.4111965364 0.0609522961 0.7228066011 0.4709499291
-75.4111084667 0.0609525875 0.7228039623 0.4708910502
-75.4110171694 0.0609528896 0.7228012267 0.4708298405
-75.4109227008 0.0609532022 0.7227983960 0.4707659007
-75.4108251096 0.0609535251 0.7227954717 0.4706987143
-75.4107244332 0.0609538582 0.7227924549 0.4706276062
-75.4106206923 0.0609542015 0.7227893462 0.4705516784
-75.4105138817 0.0609545549 0.7227861454 0.4704697056
-75.4104039524 0.0609549186 0.7227828510 0.4703799458
-75.4102907750 0.0609552931 0.7227794591 0.4702797519
-75.4101740447 0.0609556794 0.7227759604 0.4701646088
-75.4100529623 0.0609560800 0.7227723311 0.4700249592
-75.4099243272 0.0609565057 0.7227684746 0.4698274747
-75.4097746114 0.0609570011 0.7227639841 0.4694370812
-75.4096397443 0.0609574473 0.7227599403 0.4691975943
